INDEX	Specimen CODE	collectionNumber	Alt_Coll_No	LABEL_Species_author	Cleaned_NAMES-USE-THIS	id_modifier	Genus	Species_ept	collectionDate	collectors	Material type	Received by MOR	country	state/province	substate	substateRank	site	habitat	associates	Flower	Fruit	Veg	MatureBuds	DBH-cm	Height-m	plantAttributesOther	elevation	elevationSource	determinationOriginal	subsequentDetermination	detBy	detDate	determinationNotes	sourceInstitution	livingCollectionsNumber	OrigSourceInfo	Original Source- Cultivated	waypoint	latitude.orig	longitude.orig	datum	utm_zone	utm_northing	utm_easting	Altitude	coordinatesSource	photos	Collecting_Extracting notes	Expedition	Project	DNA_location	voucher1	voucher2	voucher3	otherVouchers	MOR_Acc_Num	Voucher_Notes	MOR_Barcode	MorphAcc_Num	Recollect_Date	Recollect_Num	Recollect_Collecters	Sent to Floragenex	RAD Batch.No	RAD sequencing notes	TEMP	Mira used for:	Wild_Arb_GH_Collected	Paper References	latitude_georef	longitude_georef	Georeference_source	country-georef	state_province_georef	County_georef	City_georef	Tip_labels 	Andrews Paper	Voucher Imaged	SPECIES-LINK-TO-TAXONOMY (no vars)	Cronn CP Sequenced	SRA_bioproject_accession	SRA_biosample_accession	SRA_library_ID	SRA_title_correct_LOCALITY_INFO	SRA_filename	SRA_Publication	SRA_SEQUENCES USED IN 	SRA_NOTES	Sequenced on 	Sequencing Summary	Floragenex Lib.No	EXTRACTION LABELING
21	QUE000021	JCB-MX-MI-ZE-20		Quercus rugosa Née	#N/A		Quercus	rugosa	40652	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - near restaurant Miralago - on road to Sta Clara del Cobre												Q. rugosa	Q. rugosa	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus rugosa Née													
22	QUE000022	JCB-MX-MI-ZE-21		Quercus castanea Née	#N/A		Quercus	castanea	40652	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - near restaurant Miralago - on road to Sta Clara del Cobre												unique - but immature leaves	Q. castanea	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus castanea Née													
23	QUE000023	JCB-MX-MI-ZE-22		Quercus castanea Née	#N/A		Quercus	castanea	40652	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - near restaurant Miralago - on road to Sta Clara del Cobre												Q. castanea	Q. castanea	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus castanea Née													
24	QUE000024	JCB-MX-MI-ZE-23		Quercus sp. L.	#N/A		Quercus		40652	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - near restaurant Miralago - on road to Sta Clara del Cobre												immature leaves	sp	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus sp. L.													
25	QUE000025	JCB-MX-MI-SC-24		Quercus crassipes Bonpl.	Quercus crassipes		Quercus	crassipes	4/19/2011	Jeannine Cavender-Bares			Mexico	Michoacan			On road from Zirahuen to Sta Clara del Cobre												Q. crassipes	Q. crassipes	Susana Valencia			n/a	n/a	n/a	F														UMN	UMN	MOR	x	x	175913							OAK-UMN-173	Batch 2		Michoacan, MX		Wild		19.412796	-101.70479	Google Earth, mid point of road between Ziraheun and Santa Clara del Cobre	Mexico	Michoacan			Quercus crassipes_>OAK-UMN-173	Quercus crassipes | OAK-UMN-173 | MEXICO : Michoacan	http://quercus.lifedesks.org/node/871	Quercus crassipes Bonpl.		PRJNA376740	0	OAK-UMN-173	PstI RADseq of Quercus crassipes from MEXICO : Michoacan	OAK-UMN-173.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)					
26	QUE000026	JCB-MX-MI-SC-25		Quercus crassipes Bonpl.	#N/A		Quercus	crassipes	40652	Jeannine Cavender-Bares			Mexico	Michoacan			On road from Zirahuen to Sta Clara del Cobre												Q. crassipes	Q. crassipes	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus crassipes Bonpl.													
27	QUE000027	JCB-MX-MI-SC-26		Quercus crassipes Bonpl.	#N/A		Quercus	crassipes	40652	Jeannine Cavender-Bares			Mexico	Michoacan			On road from Zirahuen to Sta Clara del Cobre												Q. crassipes	Q. crassipes	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus crassipes Bonpl.													
28	QUE000028	JCB-MX-MI-SC-27		Quercus crassipes Bonpl.	#N/A		Quercus	crassipes	40652	Jeannine Cavender-Bares			Mexico	Michoacan			On road from Zirahuen to Sta Clara del Cobre												Q. crassipes	Q. crassipes	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus crassipes Bonpl.													
29	QUE000029	JCB-MX-MI-SC-28		Quercus crassipes Bonpl.	#N/A		Quercus	crassipes	40652	Jeannine Cavender-Bares			Mexico	Michoacan			On road from Zirahuen to Sta Clara del Cobre												Q. crassipes	Q. crassipes	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus crassipes Bonpl.													
30	QUE000030	JCB-MX-MI-SC-29		Quercus crassipes Bonpl.	#N/A		Quercus	crassipes	40652	Jeannine Cavender-Bares			Mexico	Michoacan			On road from Zirahuen to Sta Clara del Cobre												Q. crassipes	Q. crassipes	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus crassipes Bonpl.													
31	QUE000031	JCB-MX-MI-ES-30		Quercus scytophylla Liebm.	#N/A		Quercus	scytophylla	40656	Jeannine Cavender-Bares			Mexico	Michoacan			La Escalera												Q. scytophylla	.				n/a	n/a	n/a												Unable to find leaf sample for second extraction, unable to DNA sample from first extraction			UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus scytophylla Liebm.													
32	QUE000032	JCB-MX-MI-ES-31		Quercus scytophylla Liebm.	#N/A		Quercus	scytophylla	40656	Jeannine Cavender-Bares			Mexico	Michoacan			La Escalera													Q. scytophylla Liebm.	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus scytophylla Liebm.													
33	QUE000033	JCB-MX-MI-ES-32		Quercus scytophylla Liebm.	Quercus scytophylla		Quercus	scytophylla	4/23/2011	Jeannine Cavender-Bares			Mexico	Michoacan			La Escalera													Q. scytophylla Liebm.	Susana Valencia			n/a	n/a	n/a	F														UMN	UMN	MOR	x	x	175910							OAK-UMN-180	Batch 2		Michoacan, MX		Wild		19.466238	-100.488049	Google earth to La Escalera, MI, Mx	Mexico	Michoacan			Quercus scytophylla_>OAK-UMN-180	Quercus scytophylla | OAK-UMN-180 | MEXICO : Michoacan	http://quercus.lifedesks.org/node/898	Quercus scytophylla Liebm.		PRJNA376740	0	OAK-UMN-180	PstI RADseq of Quercus scytophylla from MEXICO : Michoacan	OAK-UMN-180.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)					
