DNA_TUBE_LABELS	SPECIMEN CODE	DNA all used up (tube tossed)	AHeditName	Used in Oaks of Americas study	COLLECTOR NUMBER	SPECIES	Collector Notes/Provin.	EXTRACTION DATE	Qubit tube A	Tube A current status	Qubit Tube B	Tube B current status	Nano lite: TUBE A 	tube A FM nano	Nano TUBE B 	Tissue Mass	A260/A280 tube A	A260/A280 tube B	Elution Volume (µl) tube3 a	Elution Volume B tubes	total ~µg in tube A	total ~µg in tube B	Total µg btwn A+ B	New Conc.	LOCATION_OF_DNA	Collector_Notes	Project	SPECIES.no.authors	Section	DNA extraction sheet
OAK-MOR-000189				Y:TUBE A	IL-SH-177	Quercus laceyi Small	David Richardson ; USA  ??	7/12/2012	37.6					60.5	3.9	32			100	100	3.572	0	3.572	18.8	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus laceyi	Quercus	
OAK-MOR-000190					IL-SH-172	Quercus robur L.		7/12/2012	40.6					46.7	4.5	33			100	100	3.857	0	3.857	20.3	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus robur	Quercus	
OAK-MOR-000191				Y	IL-SH-176	Quercus libani G.Olivier		7/12/2012	22.6					19.6	13.9	30			100	100	2.147	0	2.147	11.3	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus libani	Cerris	
OAK-MOR-000192					IL-SH-173	Quercus falcata Michx.		7/12/2012						33.6	2.3	32			100	100	0	0	0	0	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus falcata	Lobatae	
OAK-MOR-000193				M	IL-SH-175	Quercus pedunculiflora C.Koch		7/12/2012	6.13					19.4	5	32			100	100	0.58235	0	0.58235	3.065	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus pedunculiflora	Quercus?	
OAK-MOR-000194					IL-SH-174	Quercus stellata Wangenh.		7/12/2012	11.6					26.6	5.7	33			100	100	1.102	0	1.102	5.8	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus stellata	Quercus	
OAK-MOR-000195					IL-SH-168	Quercus incana Bartram		7/17/2012	16.4							31			100	100	1.558	0	1.558	8.2	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus incana	Lobatae	
OAK-MOR-000196				Y	IL-SH-158	Quercus buckleyi Nixon & Dorr	San Antonio Botanic Gard.; San Antonio,  TX, USA 	7/17/2012	18.8		2.88					30			100	100	1.786	0.2736	2.0596	10.84	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus buckleyi	Lobatae	
OAK-MOR-000197					IL-SH-169	Quercus pungens Liebm.		7/17/2012	26.6							32			100	100	2.527	0	2.527	13.3	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus pungens	Quercus	
OAK-MOR-000198					IL-SH-159	Quercus gambelii Nutt.		7/17/2012	16.2							30			100	100	1.539	0	1.539	8.1	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus gambelii	Quercus	
OAK-MOR-000199				Y:TUBE A	IL-SH-167	Quercus pontica K. Koch	(photo voucher) Hayrettin Karaca; Artvin, Turkey	7/17/2012	40.4							32			100	100	3.838	0	3.838	20.2	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus pontica	Mesobalanus	
OAK-MOR-000200					IL-SH-160	Quercus fusiformis		7/17/2012	20.2							31			100	100	1.919	0	1.919	10.1	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus fusiformis	Quercus	
OAK-MOR-000201				Merged with 442	IL-SH-166	Quercus arkansana	Bodcaw Ck.; Sarepta; LA; USA	7/17/2012	0		0					31			100	100	0	0	0	0	A & B tubes Gone, merged with 442 (A = 18.8 ng/ul and B = 4.82 ng/ul orginally)		Phylogeny of the Oaks of the Americas (2012)	Quercus arkansana	Lobatae	
OAK-MOR-000202					IL-SH-165	Quercus mongolica Fisch. ex Ledeb.		7/17/2012	22.4							33			100	100	2.128	0	2.128	11.2	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus mongolica	Quercus	
OAK-MOR-000203					IL-SH-161	Quercus pumila Sudw.	Ron Lance; USA syn to Quercus ilicifolia according to Plant list	7/17/2012	7.92							30			100	100	0.7524	0	0.7524	3.96	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus pumila	Lobatae	
OAK-MOR-000204					IL-SH-162	Quercus alba L.		7/17/2012	20.4							31			100	100	1.938	0	1.938	10.2	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus alba	Quercus	
OAK-MOR-000205					IL-SH-163	Quercus dentata Thunb.		7/17/2012	25.6							36			100	100	2.432	0	2.432	12.8	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus dentata	Mesobalanus	
OAK-MOR-000206					IL-SH-164	Quercus mongolica Fisch. ex Ledeb.		7/17/2012	9.28							32			100	100	0.8816	0	0.8816	4.64	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus mongolica	Quercus	
OAK-MOR-000207				Y	IL-SH-133	Quercus canbyi Trel.	Oak Street (photo voucher); 34M42S100991; Chipinque Monterrey 3,000ft 91	9/5/2012	13.6		2.68					34			100	100	1.292	0.2546	1.5466	8.14	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus canbyi	Lobatae	
OAK-MOR-000208					IL-SH-134	Quercus canariensis Willd. 'toothed'	"Oak Street (photo voucher) Alcornocales np Spain, 1500 ft 01 ""toothed"""	9/5/2012	51.2							34			100	100	4.864	0	4.864	25.6	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus canariensis	Mesobalanus	
OAK-MOR-000209					IL-SH-135	Quercus canariensis Willd.	Oak Street (photo voucher) WC IN Menton, France 99	9/5/2012	28.6							35			100	100	2.717	0	2.717	14.3	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus canariensis	Mesobalanus	
OAK-MOR-000210					IL-SH-136	Quercus candicans Née		9/5/2012	40							31			100	100	3.8	0	3.8	20	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus candicans	Lobatae	
OAK-MOR-000211				Y	IL-SH-137	Quercus chapmanii Sarg.	Oak Street (photo voucher) Fl pan handle, adams 95	9/5/2012	16.6		4.69								100	100	1.577	0.44555	2.02255	10.645	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus chapmanii	Quercus	
OAK-MOR-000212				X	IL-SH-138	Quercus corrugata Hook. (= Quercus lancifolia Schltdl. & Cham.)		9/5/2012	25.6							31			100	100	2.432	0	2.432	12.8	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus lancifolia	Quercus	
OAK-MOR-000213					IL-SH-139	Quercus engelmannii Greene		9/5/2012	41.2							36			100	100	3.914	0	3.914	20.6	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus engelmannii	Quercus	
OAK-MOR-000214					IL-SH-140	Quercus engelmannii Greene		9/5/2012	35.2							34			100	100	3.344	0	3.344	17.6	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus engelmannii	Quercus	
OAK-MOR-000215					IL-SH-142	Quercus faginea Lam.		9/5/2012	30.2							37			100	100	2.869	0	2.869	15.1	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus faginea	Quercus	
OAK-MOR-000216					IL-SH-143	Quercus faginea Lam.		9/5/2012	17.2							30			100	100	1.634	0	1.634	8.6	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus faginea	Quercus	
OAK-MOR-000217				X	IL-SH-144	Quercus faginea Lam. var. alpestris		9/5/2012	27.6							38			100	100	2.622	0	2.622	13.8	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus faginea	Quercus	
OAK-MOR-000218					IL-SH-148	Quercus fusiformis		9/5/2012	22							30			100	100	2.09	0	2.09	11	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus fusiformis	Quercus	
OAK-MOR-000219				M	IL-SH-034	Quercus georgiana	Stone Mountain; Stone Mountain; GA, USA	9/6/2012	8.92		4.34					31			100	100	0.8474	0.4123	1.2597	6.63	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus georgiana	Lobatae	
OAK-MOR-000220					IL-SH-035	Quercus chapmanii Sarg.	Ron Lance; USA	9/6/2012	32.4							33			100	100	3.078	0	3.078	16.2	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus chapmanii	Quercus	
OAK-MOR-000221					IL-SH-049	Quercus margarettae (Ashe) Small		9/6/2012	19.2							31			100	100	1.824	0	1.824	9.6	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus margarettae	Quercus	
OAK-MOR-000222				Y:TUBE A	IL-SH-036	Quercus mohriana Buckley ex Rydb.	Turrell Co., TX, USA	9/6/2012	33.2	almost gone						39			100	100	3.154	0	3.154	16.6	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus mohriana	Quercus	
OAK-MOR-000223					IL-SH-051	Quercus margarettae (Ashe) Small		9/6/2012	13.9 (original = 29.2)							33			100	100	#VALUE!	0	#VALUE!	#VALUE!	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus margarettae	Quercus	
OAK-MOR-000224					IL-SH-050	Quercus rubra L.		9/6/2012	3.66							38			100	100	0.3477	0	0.3477	1.83	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus rubra	Lobatae	
OAK-MOR-000225				X	IL-SH-052	Quercus sinuata Walter var. breviloba (Torr.) C.H. Mull.	Collin Co., TX, USA 	9/6/2012	11							38			100	100	1.045	0	1.045	5.5	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus sinuata	Quercus	
OAK-MOR-000226				Y:TUBE A	IL-SH-053	Quercus buckleyi Nixon & Dorr	Walde Co; TX	9/6/2012	33.8							37			100	100	3.211	0	3.211	16.9	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus buckleyi	Lobatae	
OAK-MOR-000227					IL-SH-054	Quercus petraea ssp. pinnatiloba		9/6/2012	37.8							32			100	100	3.591	0	3.591	18.9	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus petraea	Quercus	
OAK-MOR-000228					IL-SH-055	Quercus canariensis Willd.	Alcala de los Gazules, Cadiz, Spain	9/6/2012								34			100	100	0	0	0	0	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus canariensis	Mesobalanus	
OAK-MOR-000229					IL-SH-056	Quercus petraea (Matt.) Liebl.		9/6/2012	30.6							34			100	100	2.907	0	2.907	15.3	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus petraea	Quercus	
OAK-MOR-000230				Merged with 482	IL-SH-092	Quercus arkansana	Webster Co., GA,  USA	9/6/2012	0		0					36			0	0	0	0		0	This extractions were merged with OAKS-MOR-449 to increase concentration (etoh precipipation- 9/27/2012.)		Phylogeny of the Oaks of the Americas (2012)	Quercus arkansana	Lobatae	
OAK-MOR-000231					IL-SH-017	Quercus lobata Née		9/6/2012	21.4							37			100	100	2.033	0	2.033	10.7	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus lobata	Quercus	
OAK-MOR-000232				Y	IL-SH-018	Quercus mexicana Bonpl.		9/6/2012	9.9							34			100	100	0.9405	0	0.9405	4.95	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus mexicana	Lobatae	
OAK-MOR-000233					IL-SH-019	Quercus laurifolia Michx.	Oak Street (Photo Voucher) EC Landing; jasper Co. SC; 2000	9/6/2012								31			100	100	0	0	0	0	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus laurifolia	Lobatae	
OAK-MOR-000234					IL-SH-061	Quercus uxoris McVaugh		9/6/2012								38			100	100	0	0	0	0	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus uxoris	Lobatae	
OAK-MOR-000235					IL-SH-076	Quercus tomentella Engelm.		9/6/2012								30			100	100	0	0	0	0	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus tomentella	Protobalanus	
OAK-MOR-000236					IL-SH-062	Quercus sinuata Walter var. breviloba (Torr.) C.H. Mull.	Kimble Co., TX, USA	9/6/2012	12.5							33			100	100	1.1875	0	1.1875	6.25	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus sinuata	Quercus	
OAK-MOR-000237				Y	IL-SH-075	Quercus vaseyana Buckley	Real Co., OH/should this be TEXAS???, USA	9/6/2012	9.95							30			100	100	0.94525	0	0.94525	4.975	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus vaseyana	Quercus	
OAK-MOR-000238				X	IL-SH-078	Quercus sartorii Lieb.		9/6/2012	15.6							32			100	100	1.482	0	1.482	7.8	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus sartorii	Lobatae	
OAK-MOR-000239					IL-SH-079	Quercus sinuata Walter	Oak Street (Photo voucher)  tag said Edgefield Co. SC Lance, 00	9/6/2012	8.78										100	100	0.8341	0	0.8341	4.39	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus sinuata	Quercus	
OAK-MOR-000240					IL-SH-081	Quercus pungens var. pungens		9/6/2012	27.2										100	100	2.584	0	2.584	13.6	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus pungens	Quercus	
OAK-MOR-000241					IL-SH-080	Quercus polymorpha Schltdl. & Cham.	Oak Street (Photo voucher) Ex Horto; Del Rio, TX; D. Richardson 	9/6/2012	14.1							32			100	100	1.3395	0	1.3395	7.05	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus polymorpha	Quercus	
OAK-MOR-000242				X	IL-SH-082	Quercus planipocula Trel.		9/6/2012	14.8							37			100	100	1.406	0	1.406	7.4	MOR freezer; Oak 2012 Box 3A and Box 3B		Phylogeny of the Oaks of the Americas (2012)	Quercus planipocula	Lobatae	
OAK-MOR-000243				M	IL-SH-033	Quercus georgiana	Woodlanders Nurs.; Aiken, SC,  USA; Pine Mtn. GA	9/7/2012	26.9		5.51					34			100	100	2.5555	0.52345	3.07895	16.205			Phylogeny of the Oaks of the Americas (2012)	Quercus georgiana	Lobatae	
OAK-MOR-000244					IL-SH-032	Quercus faginea Lam.		9/7/2012	27.4							31			100	100	2.603	0	2.603	13.7			Phylogeny of the Oaks of the Americas (2012)	Quercus faginea	Quercus	
OAK-MOR-000245					IL-SH-031	Quercus lyrata Walter		9/7/2012								37			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus lyrata	Quercus	
OAK-MOR-000246					IL-SH-030	Quercus bicolor Willd.		9/7/2012	10.9							35			100	100	1.0355	0	1.0355	5.45			Phylogeny of the Oaks of the Americas (2012)	Quercus bicolor	Quercus	
OAK-MOR-000247					IL-SH-029	Quercus velutina Lam.		9/7/2012								39			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus velutina	Lobatae	
OAK-MOR-000248				Y	IL-SH-028	Quercus texana Buckley = Quercus nuttallii var. cachensis 	Horeshoe Lake; Olive Branch, IL, USA	9/7/2012	5.56							32			100	100	0.5282	0	0.5282	2.78			Phylogeny of the Oaks of the Americas (2012)	Quercus texana	Lobatae	
OAK-MOR-000249					IL-SH-027	Quercus macrocarpa Michx.		9/7/2012	29.8( originally at 44.6)							35			100	100	#VALUE!	0	#VALUE!	#VALUE!			Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000250				Y	IL-SH-026	Quercus montana Willd.	near Stonefort; IL, USA 	9/7/2012	22.4							37			100	100	2.128	0	2.128	11.2			Phylogeny of the Oaks of the Americas (2012)	Quercus montana	Quercus	
OAK-MOR-000251					IL-SH-025	Quercus stellata Wangenh.		9/7/2012	23.5							34			100	100	2.2325	0	2.2325	11.75			Phylogeny of the Oaks of the Americas (2012)	Quercus stellata	Quercus	
OAK-MOR-000252				X	IL-SH-024	Quercus boyntonii Beadle	?	9/7/2012	23.1(originally 15.6)							36			100	100	#VALUE!	0	#VALUE!	#VALUE!			Phylogeny of the Oaks of the Americas (2012)	Quercus boyntonii	Quercus	
OAK-MOR-000253					IL-SH-023	Quercus marilandica var ashei	Witchita Mtns,.  OK Comanche Co. USA.  Collected by: Steve Bieberich	9/7/2012								35			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus marilandica	Lobatae	
OAK-MOR-000254				X	IL-SH-022	Quercus acerifolia (E.J.Palmer) Stoynoff & Hess	Sebastian Co., AR, USA	9/7/2012	17.4							32			100	100	1.653	0	1.653	8.7			Phylogeny of the Oaks of the Americas (2012)	Quercus acerifolia	Lobatae	
OAK-MOR-000255					IL-SH-120	Quercus pyrenaica Willd.		9/7/2012								35			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus pyrenaica	Mesobalanus	
OAK-MOR-000256					IL-SH-157	Quercus nigra L.	Elephant Valley Farm; Canton, MS, USA	9/7/2012								37			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus nigra	Lobatae	
OAK-MOR-000257				M - check with Guy on whether this is a wild population	IL-SH-156	Quercus phellos L.	Fort Massac SP; Massac Co., Metropolis, IL, USA	9/7/2012	8.15							35			100	100	0.77425	0	0.77425	4.075			Phylogeny of the Oaks of the Americas (2012)	Quercus phellos	Lobatae	
OAK-MOR-000258					IL-SH-155	Quercus shumardii Buckley	?	9/7/2012								34			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus shumardii	Lobatae	
OAK-MOR-000259					IL-SH-154	Quercus michauxii Nutt.	Horeshoe Lake; Olive Branch, IL ,USA	9/7/2012	12.2							34			100	100	1.159	0	1.159	6.1			Phylogeny of the Oaks of the Americas (2012)	Quercus michauxii	Quercus	
OAK-MOR-000260					IL-SH-153	Quercus muehlenbergii Engelm.	SHF spont.; Petersburg, IL, USA	9/7/2012	18.1							33			100	100	1.7195	0	1.7195	9.05			Phylogeny of the Oaks of the Americas (2012)	Quercus muehlenbergii	Quercus	
OAK-MOR-000261					IL-SH-152	Quercus pagoda Raf. 		9/7/2012								42			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus pagoda	Lobatae	
OAK-MOR-000262					IL-SH-151	Quercus marilandica (L.) Münchh.	Forbes SP;  IL, Marion Co., USA 	9/7/2012								36			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus marilandica	Lobatae	
OAK-MOR-000263					IL-SH-147	Quercus petraea (Matt.) Liebl.		9/7/2012	11.5							37			100	100	1.0925	0	1.0925	5.75			Phylogeny of the Oaks of the Americas (2012)	Quercus petraea	Quercus	
OAK-MOR-000264					IL-SH-146	Quercus oglethorpensis W.H.Duncan	Ron Lance;  SC, USA	9/7/2012	3.81							31			100	100	0.36195	0	0.36195	1.905			Phylogeny of the Oaks of the Americas (2012)	Quercus oglethorpensis	Quercus	
OAK-MOR-000265					IL-SH-122	Quercus incana Bartram		9/7/2012								34			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus incana	Lobatae	
OAK-MOR-000266					IL-SH-121	Quercus pyrenaica Willd.		9/7/2012								39			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus pyrenaica	Mesobalanus	
OAK-MOR-000267					IL-SH-016	Quercus libani G.Olivier		9/10/2012	6.79							37			100	100	0.64505	0	0.64505	3.395			Phylogeny of the Oaks of the Americas (2012)	Quercus libani	Cerris	
OAK-MOR-000268				X	IL-SH-014	Quercus glabrescens Benth.	Oak Street (photo voucher) Hidalgo	9/10/2012	22.5		13.8					31			100	100	2.1375	1.311	3.4485	18.15			Phylogeny of the Oaks of the Americas (2012)	Quercus glabrescens	Quercus	
OAK-MOR-000269					IL-SH-013	Quercus gravesii Sudw.		9/10/2012								35			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus gravesii	Lobatae	
OAK-MOR-000270				X: M	IL-SH-012	Quercus germana Schltdl. & Cham.	Oak Street (photo voucher) BG Javier Clavijero	9/10/2012	27.1		14.2					36			100	100	2.5745	1.349	3.9235	20.65			Phylogeny of the Oaks of the Americas (2012)	Quercus germana	Quercus	
OAK-MOR-000271				Y	IL-SH-010	Quercus graciliformis C.H.Mull.	Oak Street (photo voucher) Blue Cr. Canyon; Chisos Mts. TX; Simpson; 96	9/10/2012	8.8							31			100	100	0.836	0	0.836	4.4			Phylogeny of the Oaks of the Americas (2012)	Quercus graciliformis	Lobatae	
OAK-MOR-000272					IL-SH-011	Quercus gravesii Sudw.		9/10/2012								38			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus gravesii	Lobatae	
OAK-MOR-000273					IL-SH-008	Quercus hemisphaerica Bartram ex Willd.		9/10/2012								31			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus hemisphaerica	Lobatae	
OAK-MOR-000274					IL-SH-007	Quercus grisea Liebm.		9/10/2012	32.5							35			100	100	3.0875	0	3.0875	16.25			Phylogeny of the Oaks of the Americas (2012)	Quercus grisea	Quercus	
OAK-MOR-000275					IL-SH-005	Quercus incana Bartram		9/10/2012								34			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus incana	Lobatae	
OAK-MOR-000276					IL-SH-002	Quercus incana Bartram		9/10/2012								36			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus incana	Lobatae	
OAK-MOR-000277					IL-SH-001	Quercus insignis M. Martens & Galeotti		9/10/2012	42.5							33			100	100	4.0375	0	4.0375	21.25			Phylogeny of the Oaks of the Americas (2012)	Quercus insignis	Quercus	
OAK-MOR-000278					IL-SH-182	Quercus faginea broteroi		9/10/2012	16.7							43			100	100	1.5865	0	1.5865	8.35			Phylogeny of the Oaks of the Americas (2012)	Quercus faginea	Quercus	
OAK-MOR-000279					IL-SH-058	Quercus macrocarpa Michx.		9/10/2012	25.8							35			100	100	2.451	0	2.451	12.9			Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000280					IL-SH-057	Quercus muehlenbergii Engelm.	Custer Co., OK, USA	9/10/2012								33			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus muehlenbergii	Quercus	
OAK-MOR-000281					IL-SH-059	Quercus macrocarpa Michx.		9/10/2012	8.95							31			100	100	0.85025	0	0.85025	4.475			Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000282					IL-SH-060	Quercus macrocarpa Michx.		9/10/2012	36.1							31			100	100	3.4295	0	3.4295	18.05			Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000283					IL-SH-189	Quercus macrocarpa Michx.		9/10/2012	12.7							32			100	100	1.2065	0	1.2065	6.35			Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000284					IL-SH-190	Quercus macrocarpa Michx.		9/10/2012	6.51							33			100	100	0.61845	0	0.61845	3.255			Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000285					IL-SH-188	Quercus macrocarpa Michx.		9/10/2012	27.6							38			100	100	2.622	0	2.622	13.8			Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000286				X	IL-SH-183	Quercus macrocarpa Michx.	Ramsey Co.; ND; Ramsey Co.; USA	9/10/2012	10.5							33			100	100	0.9975	0	0.9975	5.25			Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000287					IL-SH-187	Quercus macrocarpa Michx.		9/10/2012	25.9							41			100	100	2.4605	0	2.4605	12.95			Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000288					IL-SH-186	Quercus macrocarpa Michx.		9/10/2012	13.8							35			100	100	1.311	0	1.311	6.9			Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000289					IL-SH-184	Quercus bicolor Willd.		9/10/2012	42.5										100	100	4.0375	0	4.0375	21.25			Phylogeny of the Oaks of the Americas (2012)	Quercus bicolor	Quercus	
OAK-MOR-000290					IL-SH-185	Quercus macrocarpa Michx.		9/10/2012	11.8							30			100	100	1.121	0	1.121	5.9			Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000291				n	IL-SH-109	Quercus ( prinoides x muhlenbergii)		9/10/2012	11.2							38			100	100	1.064	0	1.064	5.6			Phylogeny of the Oaks of the Americas (2012)	Quercus (prinoides x muehlenbergii)	Quercus	
OAK-MOR-000292				n	IL-SH-094	Quercus (georgiana x nigra)		9/10/2012								37			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus (georgiana x nigra)	Lobatae	
OAK-MOR-000293				n	IL-SH-191	Quercus x leana		9/10/2012								47			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus x leana	Lobatae	
OAK-MOR-000294				n	IL-SH-192	Quercus x leana		9/10/2012								37			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus x leana	Lobatae	
OAK-MOR-000295				n	IL-SH-193	Quercus x leana		9/10/2012								34			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus x leana	Lobatae	
OAK-MOR-000296					IL-SH-194	Quercus substellata		9/10/2012	27.4							38			100	100	2.603	0	2.603	13.7			Phylogeny of the Oaks of the Americas (2012)	Quercus x substellata	Quercus	
OAK-MOR-000297				n	IL-SH-195	Quercus x comptonii (spelling should be Quercus x comptoniae, I think)		9/10/2012	17.6							35			100	100	1.672	0	1.672	8.8			Phylogeny of the Oaks of the Americas (2012)	Quercus x comptonii	Quercus	
OAK-MOR-000298				n	IL-SH-196	Quercus x heterophylla		9/10/2012								39			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus x heterophylla	Lobatae	
