"","Quercus stellata","Quercus muehlenbergii","Quercus alba","Quercus macrocarpa-1","Quercus bicolor","Quercus macrocarpa-2","Longitude","Latitude","Species","Radius"
"OAK-MOR-001487",0,0,0.008,0.282,0.022,0.685,-83.74966,42.30404,"Quercus macrocarpa",0.75
"OAK-MOR-001489",0,0,0.013,0.216,0.016,0.748,-83.75108,42.30153,"Quercus macrocarpa",0.75
"OAK-MOR-001495",0,0,0,0.113,0,0.887,-90.11654,43.02037,"Quercus macrocarpa",0.75
"OAK-MOR-001497",0,0,0,0.123,0,0.877,-88.44251,43.01546,"Quercus macrocarpa",0.75
"OAK-MOR-001500",0,0,0,0.001,0,0.998,-88.43741,43.01838,"Quercus macrocarpa",0.75
"OAK-MOR-001501",0,0,0,0.115,0,0.885,-89.43194,43.03952,"Quercus macrocarpa",0.75
"OAK-MOR-001503",0,0,0,0.065,0,0.934,-89.43954,43.03939,"Quercus macrocarpa",0.75
"OAK-MOR-001505",0,0,0,0.055,0,0.944,-89.44229,43.03966,"Quercus macrocarpa",0.75
"OAK-MOR-001507",0,0,0,0.038,0,0.962,NA,NA,"Quercus macrocarpa",0.75
"OAK-MOR-001508",0,0,0,0.103,0,0.897,NA,NA,"Quercus macrocarpa",0.75
"OAK-MOR-001509",0,0,0,0.098,0,0.902,-94.23291,45.53,"Quercus macrocarpa",0.75
"OAK-MOR-001510",0,0,0,0.1,0.002,0.898,-94.23989,45.53088,"Quercus macrocarpa",0.75
"OAK-MOR-001511",0,0,0,0.108,0,0.891,-93.18341,44.98602,"Quercus macrocarpa",0.75
"OAK-MOR-001512",0,0,0,0.106,0,0.893,-93.19437,44.99094,"Quercus macrocarpa",0.75
"OAK-MOR-001513",0,0,0,0.371,0,0.628,-93.23801,44.97771,"Quercus macrocarpa",0.75
"OAK-MOR-001514",0,0.009,0,0.068,0.001,0.921,-85.12054,41.08874,"Quercus macrocarpa",0.75
"OAK-MOR-001516",0,0,0,0.378,0.002,0.621,-85.11921,41.08937,"Quercus macrocarpa",0.75
"OAK-MOR-001517",0,0,0,0.296,0.045,0.654,-83.47987,40.0436,"Quercus macrocarpa",0.75
"OAK-MOR-001518",0,0,0,0.268,0,0.673,-83.47924,40.04521,"Quercus macrocarpa",0.75
"OAK-MOR-001519",0,0,0,0.343,0.008,0.641,-83.47891,40.04436,"Quercus macrocarpa",0.75
"OAK-MOR-001520",0,0,0,0.329,0.001,0.67,-83.09472,40.73036,"Quercus macrocarpa",0.75
"OAK-MOR-001238",0,0,0,0.057,0,0.942,-93.60619,42.04211,"Quercus macrocarpa",0.75
"OAK-MOR-001248",0,0,0,0.07,0,0.93,-96.42526,36.84504,"Quercus macrocarpa",0.75
"OAK-MOR-001269",0,0,0,0.745,0,0.254,-89.4445,37.51492,"Quercus macrocarpa",0.75
"OAK-MOR-001319",0,0,0,0.152,0,0.847,-88.43513,43.01607,"Quercus macrocarpa",0.75
"OAK-MOR-001356",0,0,0,0.081,0,0.916,-89.80593,43.10543,"Quercus macrocarpa",0.75
"OAK-MOR-001237",0,0,0,0.132,0,0.862,-89.80825,43.10698,"Quercus macrocarpa",0.75
"OAK-MOR-001250",0,0,0,0.037,0.005,0.957,-98.35451,35.44376,"Quercus macrocarpa",0.75
"OAK-MOR-001313",0,0,0,0.28,0.023,0.695,-84.38902,42.76512,"Quercus macrocarpa",0.75
"OAK-MOR-001330",0,0,0,0.172,0,0.828,-87.93114,41.82643,"Quercus macrocarpa",0.75
"OAK-MOR-001332",0,0,0,0.067,0,0.868,-103.43264,43.7746,"Quercus macrocarpa",0.75
"OAK-MOR-001334",0,0,0,0.001,0,0.711,-103.84975,44.46733,"Quercus macrocarpa",0.75
"OAK-MOR-001335",0.001,0.001,0,0,0.004,0.843,-103.87411,44.4337,"Quercus macrocarpa",0.75
"OAK-MOR-001342",0,0,0,0.153,0,0.846,-90.11695,43.02128,"Quercus macrocarpa",0.75
"OAK-MOR-001344",0,0.011,0,0.061,0.001,0.927,-90.11771,43.02073,"Quercus macrocarpa",0.75
"OAK-MOR-001350",0,0.001,0,0.126,0,0.867,-88.0628,41.81671,"Quercus macrocarpa",0.75
"OAK-MOR-001352",0,0.001,0,0.147,0,0.842,-88.05,41.82069,"Quercus macrocarpa",0.75
"OAK-MOR-001359",0,0,0,0.193,0,0.802,-91.72565,41.97362,"Quercus macrocarpa",0.75
"OAK-MOR-001360",0,0,0,0.16,0,0.836,-93.6293,42.02917,"Quercus macrocarpa",0.75
"OAK-MOR-001362",0,0,0,0.215,0,0.783,-93.63142,42.02883,"Quercus macrocarpa",0.75
"OAK-MOR-001365",0,0,0,0.152,0,0.848,-93.61113,42.04561,"Quercus macrocarpa",0.75
"OAK-MOR-001367",0,0,0,0.189,0,0.807,-93.61029,42.04785,"Quercus macrocarpa",0.75
"OAK-MOR-001376",0,0,0,0.687,0,0.307,-96.42725,36.84435,"Quercus macrocarpa",0.75
